otu_id,Class,Family,Genus,Species,Life_cycle,Source
OTU1,NA,NA,NA,NA,NA,NA
OTU10010,Malacostraca,Philosciidae,Philoscia,muscorum,Semi-aquatic,freshwaterecology.info
OTU101,Clitellata,Lumbricidae,Dendrobaena,attemsi,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU1012,Insecta,Baetidae,Baetis,rhodani,Semi-aquatic,freshwaterecology.info
OTU102,NA,NA,NA,NA,NA,NA
OTU10246,Clitellata,Lumbricidae,Lumbricus,NA,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU103,NA,NA,NA,NA,NA,NA
OTU10323,NA,NA,NA,NA,NA,NA
OTU104,Insecta,Chironomidae,Chironomus,NA,Semi-aquatic,freshwaterecology.info
OTU105,Insecta,Chironomidae,Tanytarsus,pallidicornis,Semi-aquatic,freshwaterecology.info
OTU1054,Insecta,Ectopsocidae,Ectopsocus,NA,Terrestrial,Taxonomy
OTU108,Clitellata,Enchytraeidae,Fridericia,ratzeli,Semi-terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU109,NA,NA,NA,NA,NA,NA
OTU1098,Insecta,Caeciliusidae,Valenzuela,flavidus,Terrestrial,Taxonomy
OTU110,Insecta,Chironomidae,Thienemanniella,NA,Semi-aquatic,freshwaterecology.info
OTU111,NA,NA,NA,NA,NA,NA
OTU1119,NA,NA,NA,NA,NA,NA
OTU112,Insecta,Chironomidae,Cricotopus,NA,Semi-aquatic,freshwaterecology.info
OTU113,NA,NA,NA,NA,NA,NA
OTU114,Clitellata,Enchytraeidae,Buchholzia,appendiculata,Semi-terrestrial,"DUMNICKA, E. (1996). AQUATIC OLIGOCHAETA AND APHANONEURA FROM THE. Mémoires de biospéologie, 23, 167-171."
OTU115,NA,NA,NA,NA,NA,NA
OTU116,Branchiopoda,Eurycercidae,Eurycercus,lamellatus,Aquatic,Taxonomy
OTU117,Insecta,Chironomidae,Chironomus,dorsalis,Semi-aquatic,freshwaterecology.info
OTU118,Insecta,Chironomidae,Corynoneura,NA,Semi-aquatic,freshwaterecology.info
OTU1187,Clitellata,Lumbricidae,Aporrectodea,nocturna,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU119,Branchiopoda,Daphniidae,Simocephalus,exspinosus,Aquatic,Taxonomy
OTU120,Branchiopoda,Daphniidae,Daphnia,curvirostris,Aquatic,Taxonomy
OTU1204,Insecta,NA,NA,NA,NA,NA
OTU123,NA,NA,NA,NA,NA,NA
OTU124,NA,NA,NA,NA,NA,NA
OTU1241,Hexanauplia,Cyclopidae,NA,NA,Aquatic,Taxonomy
OTU1242,Insecta,Platystomatidae,Platystoma,seminationis,Terrestrial,bugguide.net
OTU1247,Insecta,NA,NA,NA,NA,NA
OTU125,Clitellata,Lumbricidae,Aporrectodea,NA,NA,NA
OTU126,NA,NA,NA,NA,NA,NA
OTU1267,NA,NA,NA,NA,NA,NA
OTU127,NA,NA,NA,NA,NA,NA
OTU129,NA,NA,NA,NA,NA,NA
OTU13,NA,NA,NA,NA,NA,NA
OTU130,NA,NA,NA,NA,NA,NA
OTU131,NA,NA,NA,NA,NA,NA
OTU1317,NA,NA,NA,NA,NA,NA
OTU132,NA,NA,NA,NA,NA,NA
OTU1334,Hexanauplia,Cyclopidae,NA,NA,Aquatic,Taxonomy
OTU135,NA,NA,NA,NA,NA,NA
OTU136,NA,NA,NA,NA,NA,NA
OTU137,Branchiopoda,Daphniidae,Ceriodaphnia,quadrangula,Aquatic,Taxonomy
OTU1385,Insecta,Culicidae,Mansonia,NA,Semi-aquatic,freshwaterecology.info
OTU139,NA,NA,NA,NA,NA,NA
OTU14,NA,NA,NA,NA,NA,NA
OTU140,Insecta,Chironomidae,Chironomus,dorsalis,Semi-aquatic,freshwaterecology.info
OTU1401,NA,NA,NA,NA,NA,NA
OTU1402,NA,NA,NA,NA,NA,NA
OTU1429,Insecta,Stenopsocidae,Graphopsocus,cruciatus,Terrestrial,Taxonomy
OTU143,NA,NA,NA,NA,NA,NA
OTU144,Clitellata,Enchytraeidae,Fridericia,ratzeli,Semi-terrestrial,"Schmelz, R. M., & Collado, R. (2010). A guide to European terrestrial and freshwater species of Enchytraeidae (Oligochaeta). Soil organisms, 82(1), 1-176."
OTU145,NA,NA,NA,NA,NA,NA
OTU146,NA,NA,NA,NA,NA,NA
OTU1463,NA,NA,NA,NA,NA,NA
OTU147,Insecta,Drosophilidae,Chymomyza,amoena,Terrestrial,https://bladmineerders.nl/
OTU148,Insecta,Chironomidae,Thienemanniella,obscura,Semi-aquatic,freshwaterecology.info
OTU1483,Clitellata,Lumbricidae,Aporrectodea,longa,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU149,Insecta,Chironomidae,Tvetenia,calvescens,Semi-aquatic,freshwaterecology.info
OTU1492,NA,NA,NA,NA,NA,NA
OTU15,NA,NA,NA,NA,NA,NA
OTU150,NA,NA,NA,NA,NA,NA
OTU151,NA,NA,NA,NA,NA,NA
OTU154,NA,NA,NA,NA,NA,NA
OTU155,NA,NA,NA,NA,NA,NA
OTU156,Insecta,Chironomidae,Chironomus,NA,Semi-aquatic,freshwaterecology.info
OTU157,Clitellata,Lumbricidae,Dendrobaena,NA,NA,NA
OTU158,Branchiopoda,Daphniidae,Simocephalus,exspinosus,Aquatic,Taxonomy
OTU1588,Clitellata,Lumbricidae,Aporrectodea,longa,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU159,Insecta,Chironomidae,NA,NA,Semi-aquatic,freshwaterecology.info
OTU1607,Insecta,Nemouridae,Protonemura,intricata,Semi-aquatic,freshwaterecology.info
OTU161,NA,NA,NA,NA,NA,NA
OTU1616,NA,NA,NA,NA,NA,NA
OTU1624,Insecta,Stenopsocidae,Graphopsocus,cruciatus,Terrestrial,Taxonomy
OTU165,Insecta,Heleomyzidae,Suillia,pallida,Terrestrial,"Truffle Farming Today, a Comprehensive World Guide"
OTU1652,Insecta,Culicidae,Mansonia,NA,Semi-aquatic,freshwaterecology.info
OTU1666,Insecta,Nemouridae,Protonemura,intricata,Semi-aquatic,freshwaterecology.info
