otu_id,Phylum,Class,Order,Family,Genus,Species
OTU1,NA,NA,NA,NA,NA,NA
OTU2,NA,NA,NA,NA,NA,NA
OTU3,Arthropoda,Collembola,Poduromorpha,Tullbergiidae,Mesaphorura,Mesaphorura macrochaeta
OTU4,Arthropoda,Collembola,Poduromorpha,Tullbergiidae,Mesaphorura,Mesaphorura macrochaeta
OTU5,NA,NA,NA,NA,NA,NA
OTU6,NA,NA,NA,NA,NA,NA
OTU7,Arthropoda,Collembola,Poduromorpha,Tullbergiidae,Mesaphorura,Mesaphorura macrochaeta
OTU8,NA,NA,NA,NA,NA,NA
OTU13,NA,NA,NA,NA,NA,NA
OTU14,NA,NA,NA,NA,NA,NA
OTU15,NA,NA,NA,NA,NA,NA
OTU17,NA,NA,NA,NA,NA,NA
OTU18,NA,NA,NA,NA,NA,NA
OTU19,Arthropoda,Collembola,Poduromorpha,Tullbergiidae,Mesaphorura,Mesaphorura macrochaeta
OTU22,NA,NA,NA,NA,NA,NA
OTU24,NA,NA,NA,NA,NA,NA
OTU25,NA,NA,NA,NA,NA,NA
OTU26,NA,NA,NA,NA,NA,NA
OTU27,NA,NA,NA,NA,NA,NA
OTU28,NA,NA,NA,NA,NA,NA
OTU29,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,NA
OTU30,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,Cypridopsis vidua
OTU32,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea limicola
OTU33,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU34,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Psectrocladius schlienzi
OTU35,NA,NA,NA,NA,NA,NA
OTU36,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Achaeta,Achaeta danica
OTU37,NA,NA,NA,NA,NA,NA
OTU39,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU40,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion tyrtaeum
OTU41,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia paroniana
OTU42,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Psectrocladius schlienzi
OTU43,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,Cypridopsis vidua
OTU45,NA,NA,NA,NA,NA,NA
OTU46,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Achaeta,Achaeta danica
OTU48,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea limicola
OTU49,NA,NA,NA,NA,NA,NA
OTU50,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea rosea
OTU51,NA,NA,NA,NA,NA,NA
OTU53,NA,NA,NA,NA,NA,NA
OTU54,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella claripennis
OTU55,NA,NA,NA,NA,NA,NA
OTU56,NA,NA,NA,NA,NA,NA
OTU57,NA,NA,NA,NA,NA,NA
OTU59,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis horaria
OTU61,NA,NA,NA,NA,NA,NA
OTU62,NA,NA,NA,NA,NA,NA
OTU64,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia paroniana
OTU65,NA,NA,NA,NA,NA,NA
OTU66,NA,NA,NA,NA,NA,NA
OTU67,NA,NA,NA,NA,NA,NA
OTU68,NA,NA,NA,NA,NA,NA
OTU69,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis horaria
OTU72,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea rosea
OTU73,NA,NA,NA,NA,NA,NA
OTU74,NA,NA,NA,NA,NA,NA
OTU76,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella,Eukiefferiella claripennis
OTU77,NA,NA,NA,NA,NA,NA
OTU78,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus pallidicornis
OTU79,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,NA
OTU80,NA,NA,NA,NA,NA,NA
OTU81,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,NA
OTU85,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Daphnia curvirostris
OTU86,NA,NA,NA,NA,NA,NA
OTU87,NA,NA,NA,NA,NA,NA
OTU88,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU89,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia quadrangula
OTU92,NA,NA,NA,NA,NA,NA
OTU96,NA,NA,NA,NA,NA,NA
OTU97,NA,NA,NA,NA,NA,NA
OTU101,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,Dendrobaena attemsi
OTU102,NA,NA,NA,NA,NA,NA
OTU103,NA,NA,NA,NA,NA,NA
OTU104,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA
OTU105,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus pallidicornis
OTU108,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia ratzeli
OTU109,NA,NA,NA,NA,NA,NA
OTU110,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,NA
OTU111,NA,NA,NA,NA,NA,NA
OTU112,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,NA
OTU113,NA,NA,NA,NA,NA,NA
OTU114,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU115,NA,NA,NA,NA,NA,NA
OTU116,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Eurycercus,Eurycercus lamellatus
OTU117,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus dorsalis
OTU118,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,NA
OTU119,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Simocephalus,Simocephalus exspinosus
OTU120,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Daphnia curvirostris
OTU123,NA,NA,NA,NA,NA,NA
OTU124,NA,NA,NA,NA,NA,NA
OTU125,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,NA
OTU126,NA,NA,NA,NA,NA,NA
OTU127,NA,NA,NA,NA,NA,NA
OTU129,NA,NA,NA,NA,NA,NA
OTU130,NA,NA,NA,NA,NA,NA
OTU131,NA,NA,NA,NA,NA,NA
OTU132,NA,NA,NA,NA,NA,NA
OTU135,NA,NA,NA,NA,NA,NA
OTU136,Arthropoda,NA,NA,NA,NA,NA
OTU137,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,Ceriodaphnia quadrangula
OTU139,NA,NA,NA,NA,NA,NA
OTU140,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus dorsalis
OTU143,NA,NA,NA,NA,NA,NA
OTU144,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia ratzeli
OTU145,NA,NA,NA,NA,NA,NA
OTU146,NA,NA,NA,NA,NA,NA
OTU147,Arthropoda,Insecta,Diptera,Drosophilidae,Chymomyza,Chymomyza amoena
OTU148,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella obscura
OTU149,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia,Tvetenia calvescens
OTU150,NA,NA,NA,NA,NA,NA
OTU151,NA,NA,NA,NA,NA,NA
OTU153,NA,NA,NA,NA,NA,NA
OTU154,NA,NA,NA,NA,NA,NA
OTU155,NA,NA,NA,NA,NA,NA
OTU156,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA
OTU157,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,NA
OTU158,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Simocephalus,Simocephalus exspinosus
OTU159,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA
OTU161,NA,NA,NA,NA,NA,NA
OTU165,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,Suillia pallida
OTU169,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,NA
OTU172,NA,NA,NA,NA,NA,NA
OTU173,NA,NA,NA,NA,NA,NA
OTU174,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Eurycercus,Eurycercus lamellatus
OTU175,NA,NA,NA,NA,NA,NA
OTU176,NA,NA,NA,NA,NA,NA
OTU177,Arthropoda,Insecta,Diptera,Lauxaniidae,Pseudolyciella,Pseudolyciella pallidiventris
OTU179,NA,NA,NA,NA,NA,NA
OTU181,NA,NA,NA,NA,NA,NA
OTU182,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU185,Arthropoda,Insecta,Diptera,Chironomidae,Paratrichocladius,Paratrichocladius rufiventris
OTU187,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia,Tvetenia calvescens
OTU188,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU189,NA,NA,NA,NA,NA,NA
OTU190,NA,NA,NA,NA,NA,NA
OTU193,NA,NA,NA,NA,NA,NA
OTU194,NA,NA,NA,NA,NA,NA
